job_id,title,company,location,posted_at,remote,apply_url,description_snippet
4383954162,CNC Programmer,Pursuit Aerospace,Tunisia,2026-06-09 12:55,False,https://www.linkedin.com/jobs/view/4383954162,"Tunis, Tunis, Tunisia · Reposted 3 days ago · Over 100 people clicked applyPromoted by hirer · Responses managed off LinkedIn"
4414246945,Process Engineer,Versigent,Tunisia,2026-06-09 12:55,False,https://www.linkedin.com/jobs/view/4414246945,"Béja, Tunisia · Reposted 5 days ago · 60 people clicked applyPromoted by hirer · Responses managed off LinkedIn"
4423238337,Project Engineer,Scatec ASA,Tunisia,2026-06-09 12:55,False,https://www.linkedin.com/jobs/view/4423238337,"Tunis, Tunis, Tunisia · 1 week ago · Over 100 people clicked applyPromoted by hirer · Responses managed off LinkedIn"
4423224145,Software Engineer,Siemens EDA (Siemens Digital Industries Software),Tunisia,2026-06-09 12:55,False,https://www.linkedin.com/jobs/view/4423224145,"Tunis, Tunis, Tunisia · 1 week ago · Over 100 people clicked applyPromoted by hirer · Responses managed off LinkedIn"
4423365020,Ingénieur Validation Embarqué H/F,SAGEMCOM,Tunisia,2026-06-09 12:55,False,https://www.linkedin.com/jobs/view/4423365020,"Le Kram, Tunis, Tunisia · 5 days ago · Over 100 applicantsPromoted by hirer · Actively reviewing applicants"
4391858393,Technicien Polyvalent,Vneuron Risk & Compliance,Tunisia,2026-06-09 12:55,False,https://www.linkedin.com/jobs/view/4391858393,"Tunis, Tunis, Tunisia · 2 months ago · Over 100 people clicked applyResponses managed off LinkedIn"
4422274579,Assistante commerciale et digital,Photo Zone Tunis,Tunisia,2026-06-09 12:55,False,https://www.linkedin.com/jobs/view/4422274579,"La Marsa, Tunis, Tunisia · 31 minutes ago · 4 applicantsNo response insights available yet"
4416260561,C/C++ Software Engineer,FIS,Tunisia,2026-06-09 12:55,False,https://www.linkedin.com/jobs/view/4416260561,"Ariana, Ariana, Tunisia · 3 weeks ago · Over 100 people clicked applyPromoted by hirer · Responses managed off LinkedIn"
4414121025,Senior Data Scientist ,ODDO BHF,Tunisia,2026-06-09 12:55,False,https://www.linkedin.com/jobs/view/4414121025,"Tunis, Tunisia · 3 weeks ago · Over 100 applicantsPromoted by hirer · Actively reviewing applicants"
4416849073,Senior Backend Engineer: Recommendations,Constructor,Tunisia,2026-06-09 12:55,False,https://www.linkedin.com/jobs/view/4416849073,EMEA · 1 week ago · Over 100 people clicked applyResponses managed off LinkedIn
4382482052,Manager Conseil Leasing (H/F) (2),TEAMWILL,Tunisia,2026-06-09 12:55,False,https://www.linkedin.com/jobs/view/4382482052,"Tunis, Tunis, Tunisia · Reposted 4 days ago · Over 100 people clicked applyPromoted by hirer · Responses managed off LinkedIn"
